"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
99737,2,"","One thousand","agayvli","","","adj","— and the number of them was myriads of myriads, and <u>thousands</u> of thousands —","[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 5:11]","ᎯᎠᏃ ᎾᏂᎥᎩ, ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ ᎤᎶᏏᎶᏛ ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ, ᎠᎴ <u>ᎠᎦᏴᎵ</u> ᎤᎦᏴᎳᏥᎶᏛ.","ᎠᎦᏴᎵ","","","","","","","","","","","agayvli","","hiano nanivgi, asgohi iyagayvli ulosilodv asgohi iyagayvli, ale <u>agayvli</u> ugayvlatsilodv.","","","","","","ạgạyvli","","","","","","","rrd","","","","","2019-12-09 12:15:53"
99738,2,"","Woman, elderly","agayvligei","","","n","… and both were <u>advanced in their days</u>.","[ᎷᎦ 1:7]","… ᎠᎴ ᎢᏧᎳ ᎿᏉ <u>ᎠᏂᎦᏴᎵᎨ</u> ᎨᏎᎢ.","ᎠᎦᏴᎵᎨᎢ","","","","","","","","","","","agayvligei","","… ale itsula hnaquo <u>anigayvlige</u> gesei.","","","","","","ạgạyvlịgeɂi","","","","","","","rrd","","","","","2019-12-09 12:15:53"
99739,1,"","He is leaving it (something alive)","akahiyia","","","vt","","","","ᎠᎧᎯᏱᎠ","tsikaiyia","ᏥᎧᎢᏱᎠ","hikahiya","ᎯᎧᎯᏯ","ukahiyisdi","ᎤᎧᎯᏱᏍᏗ","ukahiyvi","ᎤᎧᎯᏴᎢ","akahiyisgoi","ᎠᎧᎯᏱᏍᎪᎢ","akahiyia","","","tsikaiyia","hikahiya","ukahiyisdi","ukahiyvi","akahiyisgoi","ạkạhiyịɂa","","tsikạɂiyịɂa","hikạhiya","ukạhiyịsdi","ukạhiyv²³ɂi","ạkạhiyịsgo³ɂi","rrd","","","","","2018-12-22 15:20:37"
99740,1,"","He is moving it (a solid).; He is pushing it (something alive) aside.; He is clearing it (something alive) away","akahva","","","vt","","","","ᎠᎧᎲᎠ","tsikava","ᏥᎧᎥᎠ","hikahvna","ᎯᎧᎲᎾ","ukahvsdi","ᎤᎧᎲᏍᏗ","ukahvsvi","ᎤᎧᎲᏒᎢ","akahvsgoi","ᎠᎧᎲᏍᎪᎢ","akahva","","","tsikava","hikahvna","ukahvsdi","ukahvsvi","akahvsgoi","ạkạhṿɂa","","tsikạɂṿɂa","hikạhṿna","ukạhṿsdi","ukạhṿsv²³ɂi","ạkạhṿsgo³ɂi","rrd","","","","","2018-12-22 15:20:37"
99741,1,"","He is moving it (something alive)","akahva","","","vt","","","","ᎠᎧᎲᎠ","tsiyakava","ᏥᏯᎧᎥᎠ","hiyakavna","ᎯᏯᎧᎥᎾ","ukahvsdi","ᎤᎧᎲᏍᏗ","ukahvsvi","ᎤᎧᎲᏒᎢ","akahvsgoi","ᎠᎧᎲᏍᎪᎢ","akahva","","","tsiyakava","hiyakavna","ukahvsdi","ukahvsvi","akahvsgoi","akạhṿɂa","","tsiyakạɂṿɂa","hiyakạɂṿna","ukạhṿsdi","ukạhṿsv²³ɂi","akạhṿsgo³ɂi","rrd","","","","","2018-12-22 15:20:37"
99742,2,"","He is filling it","akaliiha","","","vt","for all the law in one word is <u>fulfilled</u> — in this: ‘Thou shalt love thy neighbour as thyself;’","[ᎨᎴᏏᏱ 5:14]","ᏂᎦᎥᏰᏃ ᏗᎧᎿᏩᏛᏍᏗ ᏚᎵᏁᏨ ᏌᏉᏉ ᎢᎧᏁᏨᎯ <u>ᎠᎧᎵᎢᎭ</u>, ᎯᎠᏉ ᎾᏍᎩ, ᎾᎥ ᎢᏗᏍᏓᏓᎳ ᎯᎨᏳᏎᏍᏗ ᎾᏍᎩᏯ ᏨᏒ ᏂᏣᏓᎨᏳᏒᎢ.","ᎠᎧᎵᎢᎭ","tsikaliiha","ᏥᎧᎵᎢᎭ","hikalitsa","ᎯᎧᎵᏣ","ukaliisdi","ᎤᎧᎵᎢᏍᏗ","ukalilvi","ᎤᎧᎵᎸᎢ","akaliihoi","ᎠᎧᎵᎢᎰᎢ","akaliiha","","nigavyeno dikahnawadvsdi dulinetsv saquoquo ikanetsvhi <u>akaliiha</u>, hiaquo nasgi, nav idisdadala higeyusesdi nasgiya tsvsv nitsadageyusvi.","tsikaliiha","hikalitsa","ukaliisdi","ukalilvi","akaliihoi","ạkạliɂịha","","tsịɂkạliɂịha","hịkạlitsa","ukạliɂịsdi","ukạliɂlv²³ɂi","ạkạliɂịho³ɂi","rrd","","","","","2019-12-09 12:15:53"
99743,1,"","He is giving it (something alive) to him","akaneha","","","vt","","","","ᎠᎧᏁᎭ","tsikanea","ᏥᎧᏁᎠ","hikavsdi","ᎯᎧᎥᏍᏗ","ukanhdi","ᎤᎧᏁᏗ","ukanelvi","ᎤᎧᏁᎸᎢ","akanehoi","ᎠᎧᏁᎰᎢ","akaneha","","","tsikanea","hikavsdi","ukanedi","ukanelvi","akanehoi","ạkaneha","","tsikanẹɂa","hikạvsdi","ukanhdi","ukanẹlv²³ɂi","ạkaneho³ɂi","rrd","","","","","2018-12-22 15:20:37"
99744,1,"","He is taking it (something alive) to him","akaneli","","","vt","","","","ᎠᎧᏁᎵ","tsikaneli","ᏥᎧᏁᎵ","hikaneluga","ᎯᎧᏁᎷᎦ","ukanehldi","ᎤᎧᏁᎵᏗ","ukanelvi","ᎤᎧᏁᎸᎢ","akanelisoi","ᎠᎧᏁᎵᏐᎢ","akaneli","","","tsikaneli","hikaneluga","ukanelidi","ukanelvi","akanelisoi","ạkaneli","","tsikaneli","hikaneluga","ukanehldi","ukaneɂlv²³ɂi","ạkaneliso³ɂi","rrd","","","","","2018-12-22 15:20:37"
99745,1,"","He is returning an animal","akani","","","vt","","","","ᎠᎧᏂ","tsigani","ᏥᎦᏂ","hikanuga","ᎯᎧᏄᎦ","ukanvsdi","ᎤᎧᏅᏍᏗ","ukanesvi","ᎤᎧᏁᏒᎢ","akanisoi","ᎠᎧᏂᏐᎢ","akani","","","tsigani","hikanuga","ukanvsdi","ukanesvi","akanisoi","ạkạni","","tsịgạɂni","hịkạnuga","ukạnṿsdi","ukạnẹsv²³ɂi","ạkạniso³ɂi","rrd","","","","","2018-12-22 15:20:37"
99746,2,"","His eye","akanvi","detsịkanvɂi","ᏕᏥᎧᏅᎢ","n","and Er, Judah's first-born, is evil in the <u>eyes</u> of Jehovah, and Jehovah doth put him to death.","[ᎼᏏ ᎢᎬᏱᏱ 38:7]","ᎥᎵᏃ, ᏧᏓ ᎢᎬᏱ ᎡᎯ ᎤᏪᏥ ᎠᏍᎦᎾᎯᏳ ᎨᏎ ᏱᎰᏩ <u>ᏓᎧᏅᎢ</u>; ᏱᎰᏩᏃ ᎤᎴᎢ.","ᎠᎧᏅᎢ","","","","","","","","","","","akanvi","detsikanvi","vlino, tsuda igvyi ehi uwetsi asganahiyu gese yihowa <u>dakanvi</u>; yihowano ulei.","","","","","","ạkanvɂi","detsịkanvɂi","","","","","","rrd","","","","","2019-12-09 12:15:53"
